Date	Commit	CMF	CML	CMVL	CSF	CSL	CSVL	CBF	CBL	CBVL
2011/07/17	34006ce	0	0	0	2	43	0	0	0	0
2011/07/17	3b27bad	0	0	0	2	42	0	0	0	0
2011/07/17	d9ba131	0	0	0	4	129	0	0	0	0
2011/07/17	21de0a9	0	0	0	2	66	0	0	0	0
2011/07/17	8d9266f	0	0	0	1	67	0	0	0	0
2011/07/17	43cedbf0e	0	0	0	4	79	0	0	0	0
2011/07/17	f560f66	0	0	0	3	14	0	0	0	0
2011/07/17	3d68bd0	0	0	0	8	81	0	0	0	0
2011/07/17	efcbae2	1	3	3	0	0	0	0	0	0
2011/07/17	bc574e1	4	27	19	135	15190	61	3	24	10
2011/07/17	54a772b	1	4	4	5	44	0	0	0	0
2011/07/17	a6b52a9	0	0	0	5	52	0	0	0	0
2011/07/17	247dc22	0	0	0	1	22	0	0	0	0
2011/07/17	94b0522	0	0	0	6	67	0	0	0	0
2011/07/17	6c59c11	0	0	0	76	3130	45	1	2	0
2011/07/17	d4bd4b4	0	0	0	4	26	0	0	0	0
2011/07/17	3a6cb8c	2	29	20	16	827	4	3	11	2
2011/07/17	c33d432	1	6	5	82	4809	50	1	4	0
2011/07/17	69ecca8	0	0	0	3	30	0	0	0	0
2011/07/17	178edcb	0	0	0	1	5	0	0	0	0
2011/07/17	4d09a93	8	65	48	420	8506	133	9	14	6
2011/07/17	09dd9b3	5	14	13	152	10754	132	1	20	6
2011/07/17	bcacff2	1	3	2	228	3796	19	2	3	1
2011/07/17	d184d6e	0	0	0	1	6	0	0	0	0
2011/07/17	dcace06	0	0	0	2	15	0	0	0	0
2011/07/17	6634ae1	0	0	0	1	13	4	0	0	0
2011/07/17	961c467	0	0	0	1	12	0	0	0	0
2011/07/17	d3f684f	0	0	0	1	11	0	0	0	0
2011/07/17	fa8b697	0	0	0	1	2	0	0	0	0
2011/07/17	0b8e77f	0	0	0	1	1	0	0	0	0
2011/07/17	f71d26b	1	2	2	0	0	0	0	0	0
2011/07/17	4400855	0	0	0	1	7	0	0	0	0
2011/07/17	b793eb6	0	0	0	1	7	0	0	0	0
2011/07/17	b0b3e6f	0	0	0	1	2	0	0	0	0
2011/07/17	7453ea8	1	2	2	0	0	0	0	0	0
2011/07/17	7d02173	0	0	0	1	29	0	0	0	0
2011/07/17	ca1004b	0	0	0	1	4	0	0	0	0
2011/07/17	f0f5039	0	0	0	1	3	0	0	0	0
2011/07/16	1b71fe2	0	0	0	1	19	0	0	0	0
2011/07/16	dc137bf	0	0	0	1	13	0	0	0	0
2011/07/16	542d4d6	0	0	0	6	22	0	0	0	0
2011/07/16	b23b545	0	0	0	4	36	0	0	0	0
2011/07/16	47ec132	0	0	0	6	16	0	0	0	0
2011/07/16	0895b08	0	0	0	1	9	0	0	0	0
2011/07/16	05e3aa0	0	0	0	3	29	0	0	0	0
2011/07/17	936a3f7	0	0	0	2	16	0	0	0	0
2011/07/16	265c6a0	0	0	0	1	4	0	0	0	0
2011/07/16	eb03cb0	0	0	0	1	11	0	0	0	0
2011/07/16	e80bba4	0	0	0	1	18	0	0	0	0
2011/07/16	4996c02	0	0	0	1	15	4	0	0	0
2011/07/16	9c8b04b	0	0	0	12	30	0	0	0	0
2011/07/16	d7f6169	0	0	0	1	58	4	0	0	0
2011/07/16	a292829	0	0	0	1	2	0	0	0	0
2011/07/16	fec8292	0	0	0	1	2	0	0	0	0
2011/07/16	faa2831	0	0	0	1	2	0	0	0	0
2011/07/16	2d9a8db	1	7	3	0	0	0	1	1	1
2011/07/16	1ef4859	0	0	0	1	2	0	0	0	0
2011/07/16	05e9a2f	0	0	0	1	6	0	0	0	0
2011/07/16	9191e6a	0	0	0	1	3	0	0	0	0
2011/07/16	cd63401	0	0	0	1	13	0	0	0	0
2011/07/16	b3c2ce1	0	0	0	7	432	0	0	0	0
2011/07/16	1a361cd	0	0	0	5	610	8	1	2	0
2011/07/16	ab6cf8e	0	0	0	8	110	0	0	0	0
2011/07/16	253a634	0	0	0	7	1698	20	1	6	0
2011/07/16	ab697a9	0	0	0	8	1522	12	1	2	0
